T02,"Population, density and surface area",,,,,
14,Eastern Africa,2019,Sex ratio (males per 100 females),98.4734,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2019,Population aged 0 to 14 years old (percentage),42.1853,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2019,Population aged 60+ years old (percentage),4.5424,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2019,Population density,65.0777,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2005,Population mid-year estimates (millions),112.0083,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2005,Population mid-year estimates for males (millions),55.6926,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2005,Population mid-year estimates for females (millions),56.3157,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2005,Sex ratio (males per 100 females),98.8936,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2005,Population aged 0 to 14 years old (percentage),45.6896,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2005,Population aged 60+ years old (percentage),4.5506,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2005,Population density,17.2405,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2010,Population mid-year estimates (millions),131.6221,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2010,Population mid-year estimates for males (millions),65.5299,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2010,Population mid-year estimates for females (millions),66.0922,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2010,Sex ratio (males per 100 females),99.1492,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.7786,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2010,Population aged 60+ years old (percentage),4.4199,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2010,Population density,20.2595,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2017,Population mid-year estimates (millions),164.0390,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2017,Population mid-year estimates for males (millions),81.8194,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2017,Population mid-year estimates for females (millions),82.2196,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
17,Middle Africa,2017,Sex ratio (males per 100 females),99.5134,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2017,Population aged 0 to 14 years old (percentage),45.6221,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
17,Middle Africa,2017,Population aged 60+ years old (percentage),4.3282,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
